id,total_recent,positive_recent,mood_recent,total_all,positive_all,mood_all
1443430,11,9,Very Positive,257,246,Very Positive
1443780,0,0,,420,289,Mixed
1444020,60,42,Mostly Positive,206,150,Mostly Positive
1444300,0,0,,40,38,Positive
1444350,0,0,Very Positive,768,744,Overwhelmingly Positive
1444480,0,0,,253,230,Very Positive
1444560,0,0,,167,155,Very Positive
1444650,20,19,Very Positive,796,732,Very Positive
1444920,0,0,,121,66,Mixed
1445440,0,0,,93,69,Mostly Positive
1445810,0,0,,31,18,Mixed
1445950,0,0,,93,78,Very Positive
1445990,12,9,Very Positive,324,281,Very Positive
1446160,0,0,,48,24,Mixed
1446360,0,0,,0,0,Positive
1446650,43,36,Very Positive,406,357,Very Positive
1446730,0,0,,422,413,Very Positive
1446780,0,0,,0,0,
1447000,32,25,Very Positive,679,549,Very Positive
1447360,0,0,,0,0,2 user reviews
1448230,0,0,,44,31,Mostly Positive
1448260,12,9,Very Positive,402,289,Mostly Positive
1448760,0,0,,29,20,Mostly Positive
1449260,0,0,,107,103,Very Positive
1449280,26,23,Very Positive,305,283,Very Positive
1449300,0,0,,62,51,Very Positive
1449310,0,0,,43,28,Mixed
1449350,0,0,,0,0,Positive
1449440,0,0,,145,130,Very Positive
1449441,0,0,,118,90,Mostly Positive
1449442,0,0,,63,50,Very Positive
1449450,0,0,,182,140,Mostly Positive
1449500,0,0,,30,16,Mixed
1449690,65,60,Very Positive,1428,1342,Very Positive
1449880,0,0,,97,75,Mostly Positive
1449881,0,0,,19,16,Positive
1450090,0,0,,84,70,Very Positive
1450120,13,7,Mixed,197,153,Mostly Positive
1450180,44,25,Mixed,289,231,Very Positive
1450330,0,0,,38,28,Mostly Positive
1450340,0,0,,50,36,Mostly Positive
1450460,0,0,,0,0,9 user reviews
1450650,0,0,,47,44,Positive
1450700,0,0,,19,15,Positive
1450740,0,0,,60,57,Very Positive
1450800,0,0,,21,18,Positive
1450830,45,43,Very Positive,1109,1042,Very Positive
1451080,0,0,,265,169,Mixed
1451460,0,0,,356,327,Very Positive
1451480,19,17,Very Positive,243,216,Very Positive
1452490,17,14,Very Positive,624,468,Mostly Positive
1452500,0,0,,60,52,Very Positive
1452640,0,0,,0,0,2 user reviews
1453130,0,0,,0,0,1 user reviews
1453720,0,0,,0,0,9 user reviews
1453850,0,0,,200,134,Mixed
1454050,0,0,,29,21,Mostly Positive
1454400,2763,2652,Overwhelmingly Positive,15209,14752,Overwhelmingly Positive
1454770,0,0,,127,111,Very Positive
1454900,24,22,Very Positive,369,247,Mixed
1454910,0,0,,46,39,Positive
1455220,12,6,Mixed,241,171,Mostly Positive
1455530,0,0,,55,36,Mixed
1455630,52,40,Mostly Positive,818,621,Mostly Positive
1455660,102,87,Very Positive,1077,904,Very Positive
1455840,250,240,Overwhelmingly Positive,7971,7652,Overwhelmingly Positive
1456180,0,0,,65,48,Mostly Positive
1456200,28,18,Mixed,649,532,Very Positive
1456210,0,0,,14,5,Mixed
1456360,14,2,Mostly Negative,532,111,Mostly Negative
1456361,0,0,,50,46,Very Positive
1456362,0,0,,86,47,Mixed
1456363,0,0,,69,57,Very Positive
1456650,15,10,Mostly Positive,670,448,Mixed
1456820,88,81,Very Positive,967,889,Very Positive
1456880,0,0,,185,181,Very Positive
1457440,0,0,,0,0,9 user reviews
1457740,0,0,,46,44,Positive
1457750,0,0,,64,35,Mixed
1457800,0,0,,0,0,5 user reviews
1458100,220,198,Very Positive,2377,2044,Very Positive
1458150,0,0,,41,37,Positive
1458151,0,0,,35,23,Mixed
1458152,0,0,,0,0,1 user reviews
1458153,0,0,,0,0,3 user reviews
1458154,0,0,,0,0,8 user reviews
1458155,0,0,,33,16,Mixed
1458560,0,0,,71,48,Mixed
1458690,0,0,,18,16,Positive
1458990,0,0,,54,37,Mostly Positive
1460021,0,0,,171,148,Very Positive
1460040,0,0,,187,147,Mostly Positive
1460140,0,0,,109,66,Mixed
1460370,0,0,,0,0,
1460490,0,0,,57,55,Very Positive
1460620,0,0,,12,10,Positive
1461050,0,0,,0,0,Negative
1461680,0,0,,249,229,Very Positive
1461770,0,0,,118,103,Very Positive
1462520,10,8,Very Positive,56,47,Very Positive
1462530,0,0,,19,16,Positive
1462570,154,144,Very Positive,499,454,Very Positive
1462650,0,0,,360,338,Very Positive
1462660,0,0,,35,21,Mixed
1462700,0,0,,15,13,Positive
1462810,87,54,Mixed,378,260,Mixed
1463090,0,0,,301,183,Mixed
1463420,0,0,,0,0,1 user reviews
1463490,0,0,,0,0,
1463491,0,0,,0,0,
1463492,0,0,,0,0,
1463495,0,0,,0,0,1 user reviews
1464010,0,0,,0,0,7 user reviews
1464060,0,0,,0,0,Positive
1464061,0,0,,0,0,Positive
1464062,0,0,,44,40,Positive
1464550,0,0,,0,0,Very Positive
1464740,0,0,,15,13,Positive
1464930,22,15,Mostly Positive,869,616,Mostly Positive
1465050,0,0,,0,0,8 user reviews
1465070,126,105,Very Positive,561,460,Very Positive
1465360,483,405,Very Positive,4585,3851,Very Positive
1465431,0,0,,0,0,3 user reviews
1465432,0,0,,0,0,4 user reviews
1465510,0,0,,108,106,Very Positive
1465890,34,7,Mostly Negative,524,246,Mixed
1466640,760,668,Very Positive,4247,3822,Very Positive
1466860,0,0,,5601,4648,Very Positive
1467120,0,0,,77,53,Mostly Positive
1467121,0,0,,0,0,Positive
1467210,0,0,,0,0,1 user reviews
1467350,0,0,,44,31,Mostly Positive
1467870,0,0,,0,0,6 user reviews
1468220,0,0,,0,0,Positive
1468290,0,0,,103,91,Very Positive
1468310,0,0,,0,0,Positive
1468480,11,6,Mixed,93,51,Mixed
1468810,3231,2261,Mostly Positive,101647,87416,Very Positive
1469690,26,22,Very Positive,66,61,Very Positive
1469910,0,0,,125,101,Very Positive
1470640,0,0,,0,0,8 user reviews
1471040,0,0,,297,136,Mixed
1471160,0,0,,0,0,2 user reviews
1471161,0,0,,0,0,
1471390,0,0,,0,0,8 user reviews
1471590,10,9,Very Positive,221,176,Very Positive
