id,tag,type
1003090,Story Rich,T
1003090,Singleplayer,T
1003090,Multiple Endings,T
1003090,2D,T
1003090,Emotional,T
1003090,Dark,T
1003090,Point & Click,T
1003090,Resource Management,T
1003090,Experience,T
1003090,Single-player,C
1003090,Steam Achievements,C
1003090,Steam Cloud,C
1003120,Story Rich,T
1003120,Atmospheric,T
1003120,Mystery,T
1003120,First-Person,T
1003120,Adventure,T
1003120,Narration,T
1003120,Well-Written,T
1003120,Singleplayer,T
1003120,Dark,T
1003120,Indie,T
1003120,Short,T
1003120,Philosophical,T
1003120,Drama,T
1003120,Mature,T
1003120,Emotional,T
1003120,Surreal,T
1003120,Psychological,T
1003120,Interactive Fiction,T
1003120,Conversation,T
1003120,Visual Novel,T
1003120,Single-player,C
1003120,Steam Achievements,C
1003120,Full controller support,C
1003120,Steam Trading Cards,C
1003120,Mild Swearing,R
1003310,Simulation,T
1003310,Indie,T
1003310,Single-player,C
1003310,Downloadable Content,C
1003310,Steam Achievements,C
1003310,Steam Cloud,C
1003560,Action Roguelike,T
1003560,Beat 'em up,T
1003560,Hack and Slash,T
1003560,Casual,T
1003560,Difficult,T
1003560,Arcade,T
1003560,Roguelike,T
1003560,3D,T
1003560,Isometric,T
1003560,Dragons,T
1003560,Procedural Generation,T
1003560,Action,T
1003560,Stylized,T
1003560,Dark Fantasy,T
1003560,Fantasy,T
1003560,Magic,T
1003560,Medieval,T
1003560,Mythology,T
1003560,Atmospheric,T
1003560,Retro,T
1003560,Single-player,C
1003560,Steam Achievements,C
1003560,Full controller support,C
1003560,Profile Features Limited,C
1003780,Action,T
1003780,Indie,T
1003780,Single-player,C
1003780,Online Co-op,C
1003780,Downloadable Content,C
1003780,Partial Controller Support,C
1003780,Steam Cloud,C
1003890,Adventure,T
1003890,Detective,T
1003890,Choices Matter,T
1003890,Story Rich,T
1003890,Noir,T
1003890,Multiple Endings,T
1003890,Crime,T
1003890,Singleplayer,T
1003890,Comic Book,T
1003890,Mystery,T
1003890,Investigation,T
1003890,Mature,T
1003890,Atmospheric,T
1003890,Cinematic,T
1003890,Quick-Time Events,T
1003890,Violent,T
1003890,Nudity,T
1003890,Exploration,T
1003890,Cartoony,T
1003890,Puzzle,T
1003890,Single-player,C
1003890,Steam Achievements,C
1003890,Full controller support,C
1003890,Violence,R
1003890,Bad Language,R
1003890,Sex,R
1003890,Drugs,R
1004270,Survival,T
1004270,Open World Survival Craft,T
1004270,Adventure,T
1004270,Open World,T
1004270,Simulation,T
1004270,Multiplayer,T
1004270,Crafting,T
1004270,Casual,T
1004270,Early Access,T
1004270,Indie,T
1004270,RPG,T
1004270,Building,T
1004270,Nudity,T
1004270,Character Customization,T
1004270,Singleplayer,T
1004270,Sexual Content,T
1004270,Single-player,C
1004270,Steam Cloud,C
1004340,Indie,T
1004340,Simulation,T
1004340,Single-player,C
1004340,Additional High-Quality Audio,C
1004490,Casual,T
1004490,Indie,T
1004490,Simulation,T
1004490,Action,T
1004490,Adventure,T
1004490,Local Co-Op,T
1004490,Multiplayer,T
1004490,4 Player Local,T
1004490,Local Multiplayer,T
1004490,Co-op,T
1004490,Co-op Campaign,T
1004490,Funny,T
1004490,Family Friendly,T
1004490,Colorful,T
1004490,Singleplayer,T
1004490,Cute,T
1004490,Great Soundtrack,T
1004490,Difficult,T
1004490,Split Screen,T
1004490,Memes,T
1004490,Single-player,C
1004490,Shared/Split Screen Co-op,C
1004490,Steam Achievements,C
1004490,Full controller support,C
1004490,Steam Trading Cards,C
1004490,Remote Play on Phone,C
1004490,Remote Play on Tablet,C
1004490,Remote Play on TV,C
1004490,Remote Play Together,C
1004750,Singleplayer,T
1004750,Score Attack,T
1004750,Racing,T
1004750,Sports,T
1004750,Driving,T
1004750,Automobile Sim,T
1004750,Physics,T
1004750,Time Management,T
1004750,Management,T
1004750,PvP,T
1004750,Competitive,T
1004750,eSports,T
1004750,3D,T
1004750,First-Person,T
1004750,Colorful,T
1004750,Open World,T
1004750,Third Person,T
1004750,Simulation,T
1004750,Realistic,T
1004750,Offroad,T
1004750,Single-player,C
1004750,Online PvP,C
1004750,Shared/Split Screen PvP,C
1004750,Steam Achievements,C
1004750,Full controller support,C
1004750,Steam Cloud,C
1004750,Remote Play Together,C
1004770,Action,T
1004770,Indie,T
1004770,Bullet Hell,T
1004770,Cute,T
1004770,Fighting,T
1004770,Female Protagonist,T
1004770,Multiplayer,T
1004770,Anime,T
1004770,Shoot 'Em Up,T
1004770,Local Multiplayer,T
1004770,2D,T
1004770,PvP,T
1004770,2D Fighter,T
1004770,Difficult,T
1004770,Colorful,T
1004770,Arcade,T
1004770,2.5D,T
