id,OS,CPU,RAM,Graphics,DirectX,Disk Space,Additional,type
1004270,Win7/win10 64-bit,3.2 GHz Dual Core Processor,8 GB RAM,GTX1050/Vega56 or equivalent with 4GB of video RAM,Version 11,8 GB available space,,R
1004340,Any,,,,,Additional 2 GB available space,,F
1004490,WIN7-64 bit,Intel i3-2100 / AMD A8-5600k,4 GB RAM,GeForce GTX 630 / Radeon HD 6570,Version 11,3 GB available space,,M
1004490,Win10 -64 bit,Intel i5-650 / AMD A10-5800K,8 GB RAM,Nvidia GeForce GTX 650 / Radeon HD 7510,Version 11,3 GB available space,,R
1004750,Windows® 7 64bits,Intel Core i3-2100 or AMD FX-4350,6 GB RAM,Nvidia GeForce GTX 650 2GB or ATI Radeon HD 5870 2GB,Version 11,19 GB available space,64bit Only,M
1004750,Windows 10 64-bit,Intel Core i5-6600 or AMD Ryzen 5 1600,8 GB RAM,Nvidia GeForce GTX 1060 3GB or Radeon RX 580 4GB,Version 11,19 GB available space,64bit Only,R
1004770,Windows 7 and above,1.2 ghz,4 GB RAM,512 mb video memory,Version 10,400 MB available space,,F
1004891,"64bit versions of Windows® 7, Windows® 8, Windows® 10",AMD FX4300 or Intel Core i3 2130,8 GB RAM,AMD HD7750 or NVIDIA GTX650Ti,Version 11,50 MB available space,,F
1004892,"64bit versions of Windows® 7, Windows® 8, Windows® 10",AMD FX4300 or Intel Core i3 2130,8 GB RAM,AMD HD7750 or NVIDIA GTX650Ti,Version 11,50 GB available space,,F
1004919,"64bits version of Windows® 7, Windows® 8, Windows® 10",Intel® Core i3 or AMD Phenom™ II X3,6 GB RAM,NVIDIA® GeForce® GTX 660 or AMD Radeon™ HD 7850 with 2 GB	RAM,Version 11,,,M
1004919,"64bits version of Windows® 7, Windows® 8, Windows® 10",Intel® Core i5 or AMD FX 8150,6 GB RAM,NVIDIA® GeForce® GTX 780 or AMD Radeon™ R9 290 with 2 GB RAM,Version 11,,,R
1005120,Windows® 10 64bit,Intel® Core™ i5-3550,4 GB RAM,DirectX 11 Compatible GPU,Version 11,10 GB available space,,M
1005120,Windows® 10 64bit,Intel® Core™ i7-3770K,8 GB RAM,NVIDIA® GeForce® GTX 560,Version 11,10 GB available space,,R
1005130,"Windows 7, 8, 10",1.6 GHZ,1 GB RAM,OpenGL 3.2.1,,512 MB available space,,F
