id,name
307,Redaster Studio
308,Hermit Games
309,Cybernetic Walrus
310,Tate Multimedia
311,SkyBox Labs
312,Chainsawesome Games
313,Nekoday
314,Coconut Island Games
315,Zenimax Online Studios
316,Bethesda Softworks
317,Amanita Design
318,Bulwark Studios
319,Kasedo Games
320,WayForward
321,WayForward 
322,Pillow Castle
323,Team Fusion Simulations
324,1C Entertainment
325,Studio Fizbin
326,Keen Software House
327,Pupuya Games
328,Orange_Juice
329,Fruitbat Factory
330,"Squanch Games, Inc."
331,"Beijing Litchi Culture Media Co., Ltd."
332,Gamera Game
333,NetherRealm Studios
334,Blazing Bit Games
335,Jollypunch Games
336,Draknek & Friends
337,Draknek
338,Nick Kestle
339,Mouse Hat Games
340,SplitSide Games
341,Monster Couch
342,Ensemble Studios
343,Bob
344,Ginormocorp Holdings Ltd
345,makaroll
346,Studio Maka
347,Blackfox Studios
348,No Pest Productions
349,Jens Kolhammar
350,SimTech Vision
351,Whiskeybarrel Studios
352,eGames.com
353,adamgryu
354,yeswecamp
355,PeroPeroGames
356,X.D. Network Inc.
357,Goloso Games
358,Hitcents
359,Re-Logic
360,Decemberborn Interactive
361,kagaya
362,"DWANGO Co., Ltd."
363,Primula
364,pencil
365,"YGGDRAZIL GROUP PUBLIC CO.,LTD"
366,Shift Now
367,Asgar Knights
368,Machine Games
369,Moon Studios GmbH
370,Zeboyd Digital Entertainment LLC
371,Crimson Tales
372,AB Studio
373,白露社
374,PeriScope Game
375,ONE-O-ONE GAMES
376,Cody Penn
377,Pandemic Studios
378,Lucasfilm
379,AVANTGARDE
380,Spiderweb Software
381,BYKING
382,Redstone Interactive
383,Offworld Industries
384,Gamexel Studio
385,INDIECN
386,Super Spin Digital
387,anotherworld GmbH
388,Michael Warren
389,Kylotonn Entertainment
390,ATLUS USA
391,Size Five Games
392,Nexile
393,BRUTE FORCE
394,Baltic Dragon
395,DarkStone Digital
396,Ominux Games
397,Chucklefish
398,"Idea Factory, Compile Heart"
399,Mechanistry
400,Studio Pixel Punk
401,Humble Games
402,Picogram
403,Rose City Games
404,Dry Cactus
405,Acquire Corp.
406,"Spike Chunsoft Co., Ltd. "
407,Systemic Reaction
408,STUDIO TOKIWA
409,Green Army Men Team
410,Muse Games
411,Friend & Foe Games
412,CCP
413,GhostShark
414,Iceberg Interactive
415,Amazon Games
416,Woodland Games
417,343 Industries
418,Xbox Games Studios
419,Puppet Combo
420,Morphcat Games
421,Morphcat Games UG
422,Dreaming Door Studios
423,illuCalab
424,Colossal Order Ltd.
425,Ota Guchi Field
426,SpicyTails
427,iCanDesign LLC
428,Kevin Nitschmann
429,Aerosoft GmbH
430,Sumalab
431,IRODORI
432,HOBIBOX
433,Urban Games
434,Good Shepherd Entertainment
435,Reiza Studios
436,Polygon Treehouse
437,United Label
438,Claudiu Kiss
439,Overhype Studios
440,Ruminant’s Whimper
441,Henteko Doujin
442,Con Man Games
443,SmashGames
444,Rebellion
445,Redblack Spade
446, Redblack Spade
447,Jason Oda
448,Curtis English
449,Applique
450,HIKARI FIELD
451,Studio Koba
452,Leikir Studio
453,Seen Games
454,scriptwelder
455,Armor Games Studios
456,RewindApp
457,Popcannibal
458,Knife Edge Software
459,Horizon Hobby
460,Vethergen
461,Crytivo
462,Supergiant Games
