id,title,description,date,dev_id,pub_id,metascore,age_rating,agency
1005400,Star Drift Evolution,"Race with style in this minimalistic arcade racer. Throw the weight of the car into twisty corners and feel the slides. Beat AI, friends and ghosts from the leaderboard. Choose your favorite playstyle, ranging from classic top down to arcade chase cams!","27 Aug, 2021",41,41,82,,
1005460,NationWar2:Chronicle,NationWar 2.0 is a big strategy game based on the theme of the Spring and Autumn and Warring States period. There are more than 60 countries to choose from in the game. Map 1: 1 restores the mountainous landscapes and rivers of China.,"10 Dec, 2020",42,42,N/A,,
1005930,Timeflow – Time & Money Sim,"Learn how to turn your time into money. Investment basics meet time management. Your goal is to make your dream come true. You can make a career, buy real estate, run business, trade stocks, become a blogger, or make a fortune on an art market. Study, network, and plan your time for all of it.","1 Jan, 2019",43,43,N/A,11,PEGI
1005971,iVRy Driver for SteamVR (PSVR Premium Edition),,"23 Jan, 2019",44,44,N/A,,
1005972,iVRy Driver for SteamVR (Mobile Device Premium Edition),,"23 Jan, 2019",44,44,N/A,,
1007040,EARTH DEFENSE FORCE 5,"Stand and fight for humanity. This arcade shooter takes place in the year 2022, as the Earth Defense Force fends off an all-out attack by unknown life forms. Become an EDF soldier, battle against endless hordes of immense enemies, and restore peace to the earth.","11 Jul, 2019",45,46,76,,
1007070,BorderStrain,Explore the world of Pangea as you embark on your adventure in this Open-World 2D ARPG. Follow and unravel the fate of the Firstborne or craft your own destiny alone or with friends with full multiplayer support.,"12 Mar, 2020",47,47,N/A,,
1007400,Alien Shooter 2 - The Legend,Meet the completely reworked legendary game loved by millions of players worldwide! Alien Shooter 2 - the Legend is an ambitious follow-up to the famous Alien Shooter series.,"22 Jan, 2020",48,48,N/A,,
1008710,Wet Girl,"This is a unique first-person spraying game. Take a water gun and spray the hot dancing girls, and when you wet their clothes completely, you win. When you see their angry expressions or hear them panting, don't stop spraying just for the sake of your pity on them.","30 Jan, 2019",49,50,N/A,,
1008800,Shards of Infinity,"Shards of Infinity is the follow-up to the award winning deckbuilding game, Ascension. Build your armies by recruiting allies and champions from four unique factions. Launch surprise attacks on your foes by instantly deploying mercenaries. Unlock limitless power by mastering the Shard of Infinity.","6 May, 2019",51,51,N/A,,
10090,Call of Duty: World at War,"Call of Duty is back, redefining war like you've never experienced before. Building on the Call of Duty 4®: Modern Warfare engine, Call of Duty: World at War immerses players into the most gritty and chaotic WWII combat ever experienced.","18 Nov, 2008",52,53,83,18,PEGI
1009290,SWORD ART ONLINE Alicization Lycoris,"Enjoy seamless, action-packed real-time battles using a combination of sword skills, sacred arts, and your favorite SAO characters!","9 Jul, 2020",54,55,N/A,12,PEGI
1009450,Sankaku Renai: Love Triangle Trouble,"Meet Sousuke. He's just your average student, living in a rural town. Ever since his father remarried when he was young, he's been living together with his little sister Nanaru. Together with his childhood friend Maho and their other friends, they have fun geeking out in the Otaku Club.","31 May, 2019",56,57,N/A,,
1009460,"Hello, Goodbye","""Toubu Kaito"" That is the fake name assumed by a young military officer from the United Provinces of Japan. He has been tasked with infiltrating Tenshudo Academy, located in Special District Morino, impersonating a transfer student. He is to cast aside his former identity, and 'become' Toubu Kaito.","18 Apr, 2019",58,57,N/A,,
1009560,The Tenants,Become a landlord and deal with problematic tenants as you build your rental property empire. Decide how to react to annoyed neighbors or police interventions. Will you rent your apartment to a college couple or an older lady with four cats?,"25 Mar, 2021",59,60,N/A,,
1009820,Dead by Daylight - Demise of the Faithful Chapter,,"19 Mar, 2019",61,61,N/A,18,PEGI
