id,url
15013,https://store.steampowered.com/bundle/15013/The_Flipper_Bundle/?snr=1_7_7_7000_150_11
2405,https://store.steampowered.com/bundle/2405/The_Binding_of_Isaac_Rebirth_Complete_Bundle/?snr=1_7_7_7000_150_11
12300,https://store.steampowered.com/bundle/12300/Project_Winter_Blackout_Bundle/?snr=1_7_7_7000_150_11
21089,https://store.steampowered.com/bundle/21089/Going_Medieval__Fortified_Edition/?snr=1_7_7_7000_150_110
3034,https://store.steampowered.com/bundle/3034/Weird__Wonderful_Bundle/?snr=1_7_7_7000_150_110
15435,https://store.steampowered.com/bundle/15435/Wolfenstein_Alt_History_Collection/?snr=1_7_7_7000_150_110
16473,https://store.steampowered.com/bundle/16473/Babas_Sausage_Expedition__Puzzle_Game_Masterpieces/?snr=1_7_7_7000_150_110
6115,https://store.steampowered.com/bundle/6115/Bundle_South_Park__The_Stick_of_Truth__The_Fractured_but_Whole/?snr=1_7_7_7000_150_111
22544,https://store.steampowered.com/bundle/22544/Warframe_Nidus_Prime_Access__Ravenous_Bundle/?snr=1_7_7_7000_150_111
22678,https://store.steampowered.com/bundle/22678/Rogue_Lords__Blood_Moon_Edition/?snr=1_7_7_7000_150_111
16662,https://store.steampowered.com/bundle/16662/Farmers_Dynasty__Deluxe_Edition/?snr=1_7_7_7000_150_112
18995,https://store.steampowered.com/bundle/18995/Space_Crew_LE__Bomber_Crew_Deluxe_Bundle/?snr=1_7_7_7000_150_112
10584,https://store.steampowered.com/bundle/10584/Dawn_of_Man__Planetbase/?snr=1_7_7_7000_150_112
21782,https://store.steampowered.com/bundle/21782/The_Sims_4_Bundle__Cats__Dogs___Parenthood__My_First_Pet/?snr=1_7_7_7000_150_112
3672,https://store.steampowered.com/bundle/3672/Zaccaria_Pinball__Platinum_Pack/?snr=1_7_7_7000_150_112
4074,https://store.steampowered.com/bundle/4074/Life_Simulator/?snr=1_7_7_7000_150_112
6876,https://store.steampowered.com/bundle/6876/Banner_Saga_Trilogy__Deluxe_Pack/?snr=1_7_7_7000_150_112
12085,https://store.steampowered.com/bundle/12085/Cat_Quest__Cat_Quest_II_Bundle/?snr=1_7_7_7000_150_113
378,https://store.steampowered.com/bundle/378/PRO_ANGLER_SPORT_BUNDLE/?snr=1_7_7_7000_150_113
11035,https://store.steampowered.com/bundle/11035/Cities_Skylines__Campus_Plus_Edition/?snr=1_7_7_7000_150_113
21661,https://store.steampowered.com/bundle/21661/The_Bone__The_Blade_Bundle/?snr=1_7_7_7000_150_113
9395,https://store.steampowered.com/bundle/9395/Exceptional_Cargo_Bundle/?snr=1_7_7_7000_150_113
11531,https://store.steampowered.com/bundle/11531/The_POSTAL_2_Collection/?snr=1_7_7_7000_150_113
532,https://store.steampowered.com/bundle/532/Shadowrun_Trilogy/?snr=1_7_7_7000_150_113
6978,https://store.steampowered.com/bundle/6978/ClueCluedo_Complete_Collection/?snr=1_7_7_7000_150_114
21905,https://store.steampowered.com/bundle/21905/SuchArt__Supporter_Bundle/?snr=1_7_7_7000_150_114
16211,https://store.steampowered.com/bundle/16211/Medieval_Dynasty__Digital_Supporter_Edition/?snr=1_7_7_7000_150_114
6465,https://store.steampowered.com/bundle/6465/Call_of_Duty_Franchise_Collection/?snr=1_7_7_7000_150_114
21789,https://store.steampowered.com/bundle/21789/Warframe_Sisters_of_Parvos_Riptide_Bundle/?snr=1_7_7_7000_150_115
12693,https://store.steampowered.com/bundle/12693/WRATH_Aeon_of_Ruin__Ion_Fury__GRAVEN_Complete_Your_Set/?snr=1_7_7_7000_150_115
23084,https://store.steampowered.com/bundle/23084/Mechanic_on_Junkyard/?snr=1_7_7_7000_150_116
23407,https://store.steampowered.com/bundle/23407/MV_Halloween_Bundle/?snr=1_7_7_7000_150_116
1724,https://store.steampowered.com/bundle/1724/War_for_the_Overworld_Ultimate_Edition/?snr=1_7_7_7000_150_116
22771,https://store.steampowered.com/bundle/22771/mc2games_Escape_Room_Bundle/?snr=1_7_7_7000_150_117
9372,https://store.steampowered.com/bundle/9372/Last_Run/?snr=1_7_7_7000_150_118
476,https://store.steampowered.com/bundle/476/Hero_Siege_Complete/?snr=1_7_7_7000_150_118
12308,https://store.steampowered.com/bundle/12308/EARTH_DEFENSE_FORCE_IRON_RAIN_Weapon__Costume_Bundle/?snr=1_7_7_7000_150_118
11859,https://store.steampowered.com/bundle/11859/Nolla_Games_Bundle/?snr=1_7_7_7000_150_119
16906,https://store.steampowered.com/bundle/16906/_/?snr=1_7_7_7000_150_119
12900,https://store.steampowered.com/bundle/12900/Beat_Saber__Linkin_Park_Music_Pack/?snr=1_7_7_7000_150_119
18819,https://store.steampowered.com/bundle/18819/VR_Action_Hero_Bundle/?snr=1_7_7_7000_150_119
7421,https://store.steampowered.com/bundle/7421/Call_of_Juarez_Bundle/?snr=1_7_7_7000_150_119
16628,https://store.steampowered.com/bundle/16628/Asterix__Obelix_XXL_Collection/?snr=1_7_7_7000_150_119
12750,https://store.steampowered.com/bundle/12750/Cracking_the_Cryptic_Collection/?snr=1_7_7_7000_150_119
5237,https://store.steampowered.com/bundle/5237/The_Jackbox_Party_Quadpack/?snr=1_7_7_7000_150_119
12024,https://store.steampowered.com/bundle/12024/Northgard_The_Viking_Age_Edition/?snr=1_7_7_7000_150_12
